date,company,open,close,Avg_Tweet_Sentiment,Avg_News_Sentiment,value,Prev_Close,Prev_TweetSentiment,Prev_NewsSentiment,Label
2025-01-02,Tesla,390.1,379.28,0.0,0.0,0.0,248.42,0.0,0.9503,1
2022-01-03,Tesla,382.5833,399.9266,0.0,0.486275,0.0,379.28,0.0,0.0,1
2023-01-03,Tesla,118.47,108.1,0.0,0.9114666666666666,0.0,399.9266,0.0,0.486275,0
2024-01-03,Tesla,244.98,238.45,0.0,0.93665,0.0,108.1,0.0,0.9114666666666666,1
2025-01-03,Tesla,381.48,410.44,0.0,0.0,0.0,238.45,0.0,0.93665,1
2021-01-04,Tesla,239.82,243.2566,0.0,0.6744833333333333,0.0,410.44,0.0,0.0,0
2022-01-04,Tesla,396.5166,383.1966,0.0,0.93856,0.0,243.2566,0.0,0.6744833333333333,1
2023-01-04,Tesla,109.11,113.64,0.0,0.97705,0.0,383.1966,0.0,0.93856,0
2024-01-04,Tesla,239.25,237.93,0.0,0.5382571428571429,0.0,113.64,0.0,0.97705,1
2021-01-05,Tesla,241.22,245.0366,0.0,0.78088,0.0,237.93,0.0,0.5382571428571429,1
2022-01-05,Tesla,382.2166,362.7066,0.0,0.992,0.0,245.0366,0.0,0.78088,1
2023-01-05,Tesla,110.51,110.34,0.0,0.3939,0.0,362.7066,0.0,0.992,0
2024-01-05,Tesla,236.86,237.49,0.0,0.9859333333333332,0.0,110.34,0.0,0.3939,1
2021-01-06,Tesla,252.83,251.9933,0.0,0.2596,0.0,237.49,0.0,0.9859333333333332,1
2022-01-06,Tesla,359.0,354.9,0.0,0.3426333333333333,0.0,251.9933,0.0,0.2596,1
2023-01-06,Tesla,103.0,113.06,0.0,0.9779,0.0,354.9,0.0,0.3426333333333333,0
2025-01-06,Tesla,423.2,411.05,0.0,0.0,0.0,113.06,0.0,0.9779,1
2021-01-07,Tesla,259.21,272.0133,0.0,0.93946,0.0,411.05,0.0,0.0,0
2022-01-07,Tesla,360.1233,342.32,0.0,0.99895,0.0,272.0133,0.0,0.93946,1
2025-01-07,Tesla,405.83,394.36,0.0,0.0,0.0,342.32,0.0,0.99895,1
2021-01-08,Tesla,285.3333,293.34,0.0,0.9745333333333334,0.0,394.36,0.0,0.0,0
2024-01-08,Tesla,236.14,240.45,0.0,0.76352,0.0,293.34,0.0,0.9745333333333334,0
2025-01-08,Tesla,392.95,394.94,0.0,0.0,0.0,240.45,0.0,0.76352,1
2023-01-09,Tesla,118.96,119.77,0.0,0.5477857142857142,0.0,394.94,0.0,0.0,0
2024-01-09,Tesla,238.11,234.96,0.0,0.95754,0.0,119.77,0.0,0.5477857142857142,1
2022-01-10,Tesla,333.3333,352.7066,0.0,0.974375,0.0,234.96,0.0,0.95754,1
2023-01-10,Tesla,121.07,118.85,0.0,0.75573,0.0,352.7066,0.0,0.974375,0
2024-01-10,Tesla,235.1,233.94,0.0,0.8501000000000001,0.0,118.85,0.0,0.75573,1
