date,company,open,close,Avg_Tweet_Sentiment,Avg_News_Sentiment,value,Prev_Close,Prev_TweetSentiment,Prev_NewsSentiment,Label,EMA_5,EMA_10,BB_MA,BB_Upper,BB_Lower,RSI,MACD,Signal_Line,Lag_Tweet_Sentiment_1,Lag_News_Sentiment_1
2020-04-24,Tesla,47.3874,48.3434,0.0761855397148676,0.6808857142857142,288.611,144.68,0.0,0.86168,0,152.93922154617903,164.73565364617693,185.41400000000002,282.30717468765613,88.52082531234393,47.654964637507746,-26.771141388064564,-23.973495205441374,0.0,0.9342333333333334
2020-04-27,Tesla,49.174,53.25,0.1350607038123167,0.2515499999999999,288.611,168.29,0.0,0.9625333333333334,0,158.0561476974527,165.3818984377811,180.2255,268.2944396170021,92.1565603829979,50.345996039927336,-24.87535659592737,-24.153867483538573,0.0,0.86168
2020-04-28,Tesla,53.0427,51.2747,0.0997946666666666,0.4448,288.611,160.19,0.0,0.9637555555555556,0,158.7674317983018,164.43791690363906,178.541,266.79885330197925,90.28314669802073,47.39761002867128,-23.75272911951302,-24.073639810733464,0.0,0.9625333333333334
2020-04-29,Tesla,52.678,53.3674,0.1106873333333333,0.9277285714285716,288.611,164.31,0.0,0.8384714285714285,0,160.6149545322012,164.4146592847956,176.9925,265.10039005233125,88.88460994766876,20.102355446771995,-22.273830337484526,-23.71367791608368,0.0,0.9637555555555556
2020-04-30,Tesla,57.0127,52.1254,0.0546376666666666,0.6038666666666667,288.611,194.05,0.0,0.8695666666666666,0,171.75996968813416,169.80290305119638,176.322,263.65433526682943,88.98966473317056,56.38910789010857,-18.48889447877292,-22.66872122862153,0.0,0.8384714285714285
2020-05-01,Tesla,50.3334,46.7547,0.103941,0.6955571428571429,255.868,183.28,0.0,0.8144222222222222,0,175.59997979208944,172.25328431461523,176.725,264.11029431865467,89.33970568134531,53.51982962067575,-16.171934538428815,-21.36936389058299,0.0,0.8695666666666666
2020-05-04,Tesla,46.7334,50.746,0.1147836666666666,0.62316,303.294,181.19,0.0,0.9830333333333332,0,177.46331986139296,173.8781417119579,177.453,264.72671150581374,90.17928849418625,48.53699447101945,-14.339080630313845,-19.96330723852916,0.0,0.8144222222222222
2020-05-05,Tesla,52.6527,51.214,0.145707,0.7879333333333333,303.294,161.2,0.0,0.95876,0,172.04221324092865,171.57302503705645,177.268,264.6693442266856,89.8666557733144,43.391091858269455,-14.33431952702935,-18.8375096962292,0.0,0.9830333333333332
2020-05-06,Tesla,51.7667,52.172,0.0950760101010101,0.7378444444444444,303.294,170.06,0.0,0.6668,0,171.38147549395245,171.29792957577345,176.518,263.89524155094756,89.14075844905243,52.59371221281742,-13.46045462243859,-17.76209868147108,0.0,0.95876
2020-05-07,Tesla,51.814,52.0027,0.1357919597989949,0.8788,303.294,184.76,0.0,0.92175,0,175.84098366263498,173.74557874381463,168.13500000000002,197.10372832991885,139.1662716700812,57.86718260968531,-11.449757564739969,-16.49963045812486,0.0,0.6668
2020-05-08,Tesla,52.918,54.628,0.094468,0.4519,303.294,177.81,0.0,0.8983857142857143,0,176.49732244175667,174.4845644267574,168.37650000000002,197.59475116348756,139.15824883651248,58.90974394624029,-10.2983594988537,-15.259376266270628,0.0,0.92175
2020-05-11,Tesla,52.7007,54.086,0.0685643333333333,0.96495,303.294,168.47,0.0,0.86915,0,173.82154829450445,173.39100725825605,168.2475,197.43882089833352,139.0561791016665,51.65040356583544,-10.023977999953019,-14.212296613007107,0.0,0.8983857142857143
2020-05-12,Tesla,55.1334,53.9607,0.093211,0.95475,303.294,172.08,0.0,0.9433142857142858,0,173.2410321963363,173.1526423022095,167.5565,195.6209388393645,139.4920611606355,52.089053360391546,-9.40679616463251,-13.251196523332188,0.0,0.86915
2020-05-13,Tesla,54.722,52.7307,0.07916,0.4696714285714286,303.294,167.98,0.0,0.4013,0,171.48735479755754,172.21216188362595,166.7055,193.54843534423438,139.86256465576562,58.72417737702711,-9.143114713431174,-12.429580161351986,0.0,0.9433142857142858
2020-05-14,Tesla,52.0,53.5554,0.0745073333333333,0.44737,303.294,171.89,0.0,0.9680666666666666,0,171.62156986503837,172.15358699569396,167.226,194.0460038463047,140.4059961536953,59.07665621455733,-8.52042281048503,-11.647748691178595,0.0,0.4013
2020-05-15,Tesla,52.69,53.278,0.1638889724310777,0.9299428571428572,303.294,177.55,0.0,0.8535714285714285,0,173.59771324335892,173.13475299647686,168.248,195.00262269944173,141.49337730055825,53.50917083522815,-7.483949977003192,-10.814988948343515,0.0,0.9680666666666666
2020-05-18,Tesla,55.1854,54.242,0.1270906666666666,0.7268571428571429,303.294,177.46,0.0,0.50192,0,174.8851421622393,173.92116154257198,169.7685,194.85514587091387,144.6818541290861,56.9676430242879,-6.593790919694015,-9.970749342613615,0.0,0.8535714285714285
2020-05-19,Tesla,54.3447,53.8674,0.1097210526315789,0.3246625,303.294,176.89,0.0,0.9125833333333334,0,175.55342810815955,174.46095035301343,170.4635,195.5296073542492,145.3973926457508,55.22512045190229,-5.866700023856993,-9.149939478862292,0.0,0.50192
2020-05-20,Tesla,54.7,54.3707,0.0651725593667546,0.6453222222222222,303.294,180.14,0.0,0.7257666666666666,0,177.0822854054397,175.4935048342837,171.2165,196.5054976284676,145.9275023715324,42.59239535626797,-4.970925674994874,-8.31413671808881,0.0,0.9125833333333334
2020-05-21,Tesla,54.4,55.1734,0.1042495978552278,0.6455833333333333,303.294,174.95,0.0,0.9464166666666666,0,176.37152360362649,175.39468577350485,172.8615,194.1213829278355,151.60161707216452,45.28365983467331,-4.62647653357871,-7.57660468118679,0.0,0.7257666666666666
